wavelength,solar_flux,p_titan,p_uranus,p_neptune
7030,145.6,240,151,95
7040,145.1,241,150,94
7050,146.2,246,164,100
7060,145.4,253,192,111
7070,144.2,257,200,115
7080,144.6,262,219,124
7090,143.2,265,233,130
7100,144.7,268,241,136
7110,142.9,274,264,149
7120,141.8,275,262,147
7130,141.0,275,262,148
7140,142.8,275,263,148
7150,139.1,270,236,131
7160,140.5,252,177,103
7170,137.7,236,121,82
7180,134.7,222,88,71
7190,132.1,215,76,66
7200,133.6,206,64,63
7210,136.0,198,61,61
7220,136.4,195,59,59
7230,136.0,191,57,59
7240,135.0,187,53,58
7250,133.5,176,46,50
7260,133.6,170,44,48
7270,134.7,166,42,45
7280,133.4,169,44,48
7290,128.4,177,46,51
7300,133.4,179,48,52
7310,131.6,190,54,57
7320,133.7,196,56,58
7330,132.7,197,59,59
7340,135.4,206,70,63
7350,133.0,215,79,67
7360,132.3,224,99,73
7370,132.8,228,106,74
7380,132.3,240,133,84
7390,128.3,249,167,96
7400,131.0,261,204,111
7410,127.1,278,245,134
7420,129.0,284,271,152
7430,132.2,288,292,167
7440,130.7,295,319,189
7450,130.6,296,325,194
7460,130.8,297,326,196
7470,132.2,294,318,185
7480,130.0,298,323,191
7490,129.3,299,329,201
7500,129.9,294,314,185
7510,126.9,299,332,202
7520,129.0,298,326,194
7530,128.3,301,334,205
7540,129.8,301,337,208
7550,128.4,300,327,197
7560,127.3,298,319,191
7570,127.0,294,301,173
7580,127.3,291,288,162
7590,122.8,282,275,155
7600,100.4,361,278,148
7610,105.0,351,225,118
7620,113.1,274,204,107
7630,110.8,306,206,110
7640,115.6,289,189,98
7650,119.0,274,184,100
7660,115.6,273,191,103
7670,121.8,256,170,93
7680,123.7,262,193,105
7690,122.5,260,186,99
7700,122.1,259,187,100
7710,122.3,257,176,96
7720,122.7,256,176,95
7730,122.8,241,140,81
7740,122.6,242,38,78
7750,119.9,244,141,83
7760,123.0,237,127,76
7770,126.0,233,118,72
7780,123.6,229,106,69
7790,121.9,224,99,67
7800,120.2,215,79,60
7810,119.9,207,64,55
7820,122.1,205,62,55
7830,119.9,201,60,53
7840,120.1,198,53,52
7850,119.4,211,73,59
7860,120.8,206,67,56
7870,119.9,208,68,58
7880,119.4,213,74,56
7890,119.1,217,78,60
7900,119.7,214,77,62
7910,117.5,212,72,56
7920,116.0,208,64,53
7930,115.0,200,54,51
7940,114.4,201,53,50
7950,116.9,195,47,46
7960,116.0,198,49,48
7970,116.7,193,46,50
7980,116.7,192,47,48
7990,115.7,194,50,50
8000,113.8,198,53,53
8010,115.3,202,58,52
8020,115.2,203,57,53
8030,113.3,207,62,56
8040,114.8,205,64,55
8050,112.6,211,73,56
8060,114.1,215,77,60
8070,112.7,223,89,64
8080,113.0,227,93,64
8090,112.2,225,90,63
8100,110.7,230,98,63
8110,112.0,237,102,64
8120,111.9,251,119,73
8130,110.3,259,123,75
8140,110.3,274,133,79
8150,109.6,298,141,82
8160,109.3,304,153,91
8170,109.2,301,167,97
8180,108.5,314,188,111
8190,108.6,314,204,124
8200,108.0,316,217,130
8210,108.1,318,225,137
8220,107.3,324,231,143
8230,106.7,339,234,148
8240,108.0,323,219,138
8250,107.6,330,213,135
8260,107.7,334,209,131
8270,107.3,332,212,135
8280,106.6,335,230,147
8290,106.3,342,256,164
8300,106.2,337,278,183
8310,105.5,332,292,190
8320,105.6,332,292,182
8330,104.2,323,264,153
8340,104.6,301,215,115
8350,104.7,265,155,84
8360,103.8,249,113,65
8370,104.5,235,90,58
8380,103.5,217,65,51
8390,102.8,209,60,48
8400,103.5,220,62,48
8410,102.6,202,49,44
8420,102.7,208,58,46
8430,102.9,222,76,53
8440,101.1,219,66,48
8450,102.1,232,88,55
8460,102.4,241,105,61
8470,100.4,246,104,62
8480,100.7,248,109,60
8490,98.9,256,122,66
8500,89.6,243,112,62
8510,98.4,243,102,59
8520,98.3,233,89,57
8530,95.8,217,70,52
8540,75.7,211,58,48
